,0,1,2,3
279,254.88695533510523,951,220,951
280,255.60876354303645,952,218,952
281,255.85902368296476,953,219,953
282,258.5488735229761,954,220,954
283,258.56279701457424,955,217,955
284,259.45234629889154,956,218,956
285,262.0457975240205,957,219,957
286,262.57280895020324,958,218,958
287,265.6262035266851,959,219,959
288,265.71563747736025,960,220,960
289,265.9467615896083,961,221,961
290,267.2790302287105,962,228,962
291,269.1426387624227,963,229,963
292,271.9917645812092,964,249,964
293,272.41057248205266,3118,231,3118
294,268.00716408334995,3119,232,3119
295,262.8450494112447,3120,233,3120
296,263.68739067312197,3121,234,3121
297,266.7568180946827,3122,235,3122
298,269.2071321492053,3123,236,3123
299,270.098056268459,3124,237,3124
300,269.6118691749301,3125,238,3125
301,268.9942750320156,3126,234,3126
302,267.3652183811493,3127,235,3127
303,267.6388611543541,3128,229,3128
304,267.59073227598833,3129,230,3129
305,269.3571606621952,3130,223,3130
306,268.168007040362,3131,224,3131
307,266.9052266254815,3132,225,3132
308,267.56173119487704,3133,234,3133
309,267.99313424041225,3134,283,3134
310,274.15382543382395,3135,284,3135
311,274.5177589883752,3136,285,3136
312,272.63602109772586,3137,286,3137
313,272.4672457379045,3138,287,3138
314,273.66636621989284,3136,288,3136
315,273.54356143035153,3137,289,3137
316,275.0063271999385,3141,290,3141
317,277.29666424246886,3139,290,3139
318,275.88287369824263,3140,292,3140
319,277.58703139736286,3141,290,3141
320,283.9887321708413,3139,291,3139
321,284.3099716858377,3140,292,3140
322,288.60436587134353,988,293,988
323,288.23740215315627,989,294,989
324,289.1751026627298,990,295,990
325,289.2304271683744,991,296,991
326,288.9946712311497,992,297,992
327,289.8529282239535,993,298,993
328,289.8529282239535,994,299,994
329,292.0221909376072,995,297,995
330,292.06492428910445,996,303,996
331,292.4755032477085,997,304,997
332,292.3671664192139,998,300,998
333,293.3655739857701,999,301,999
334,294.41114109354004,1000,302,1000
335,292.9813645950888,1001,303,1001
336,292.1117594346389,1002,304,1002
337,292.615242255082,1003,305,1003
338,291.6951833678444,1004,306,1004
339,290.38677655843827,1005,307,1005
340,291.09558567591085,1669,308,1669
341,291.0719498680702,1007,309,1007
342,291.13543240217325,1008,310,1008
343,289.5679540280684,1672,311,1672
344,290.2037904645657,1673,312,1673
345,290.7114032851163,1674,313,1674
346,289.73173799222695,1670,317,1670
347,290.7601073049679,1671,318,1671
348,290.14506716467963,1672,319,1672
349,289.1507565267579,1673,317,1673
350,289.36178047557775,1674,318,1674
351,290.19248784211567,1675,319,1675
352,289.9895170519039,1676,320,1676
353,290.46500649819495,1677,321,1677
354,289.39661366366477,1678,325,1678
355,288.392787704541,1679,323,1679
356,287.2612748004792,1680,289,1680
357,285.7694175379802,1681,290,1681
358,284.0721035230254,1682,291,1682
359,285.03361205302866,1683,292,1683
360,285.8634639124091,3087,293,3087
361,298.04643933454395,1706,329,1706
362,297.7865007014253,1707,330,1707
363,294.0764526445461,1708,331,1708
364,289.2312569553989,1709,332,1709
365,288.5112129536736,1710,338,1710
366,284.5113705987864,1711,334,1711
367,282.7428513685182,1040,340,1040
368,290.105084409081,1713,341,1713
369,287.2999825965886,1713,337,1713
370,284.92918418442173,1714,343,1714
371,285.82959958688696,1715,344,1715
372,284.2849274935274,1716,340,1716
373,284.2849274935274,1717,346,1717
374,284.83370587063627,1718,342,1718
375,282.2367800269839,1719,343,1719
376,281.9100565783352,1720,349,1720
377,282.11685522137833,1721,345,1721
378,279.8848334583354,1722,346,1722
379,282.19029040702327,1723,352,1723
380,282.8209327472069,1724,348,1724
381,280.4176884577721,1725,349,1725
382,280.04771022095525,1726,337,1726
383,277.07933881832497,1727,346,1727
384,277.07962754414143,1728,352,1728
385,277.2412667695777,1729,340,1729
386,275.6336699316688,1730,110,1730
387,275.1665677367077,1731,109,1731
388,274.5294155459486,1732,110,1732
389,277.485855495375,1733,111,1733
390,283.6177709523861,1734,112,1734
