Date;context;Total_Power;Not_allocated;Canteen;Data_centre;Refrigeration_unit2;Rectory;DIMAT;Print_shop;Total_Power_energy_absolute;Not_allocated_energy_absolute;Canteen_energy_absolute;Data_centre_energy_absolute;Refrigeration_unit2_energy_absolute;Rectory_energy_absolute;DIMAT_energy_absolute;Print_shop_energy_absolute;Total_Power_energy_relative;Not_allocated_energy_relative;Canteen_energy_relative;Data_centre_energy_relative;Refrigeration_unit2_energy_relative;Rectory_energy_relative;DIMAT_energy_relative;Print_shop_energy_relative
17/06/2019;4,00;6;0;0;2;3;1;2;0;283,99;-5,09;4,46;17,23;303,37;-8,91;-6,75;-0,65;17,26;-0,50;3,74;12,68;131,71;-14,58;-26,20;-2,14
21/06/2019;2,00;6;1;1;2;5;1;1;0;157,88;27,57;-29,28;11,00;172,66;-3,35;-1,58;-0,28;14,61;6,11;-9,17;11,62;123,21;-10,17;-12,55;-2,65
21/06/2019;4,00;6;0;0;2;2;1;2;0;280,29;125,51;22,36;6,53;149,07;-1,61;-0,35;-1,55;17,04;12,27;18,75;4,80;64,72;-2,63;-1,35;-5,09
24/06/2019;4,00;6;1;8;8;0;1;1;0;121,41;72,97;20,10;48,83;-5,07;-5,58;-1,61;-0,06;22,78;27,22;42,75;35,14;-26,60;-15,14;-12,18;-3,56
24/06/2019;5,00;6;5;1;8;0;1;1;1;160,16;114,69;7,07;57,20;-3,00;-3,63;-3,63;0,12;22,88;32,14;11,76;31,48;-14,51;-7,05;-7,05;6,02
29/06/2019;3,00;6;1;0;1;8;0;1;0;636,53;36,37;-3,78;11,17;618,51;-4,14;-5,66;0,77;34,78;3,61;-3,65;4,36;184,69;-5,66;-21,65;7,05
13/07/2019;2,00;6;3;1;1;4;0;1;0;280,87;81,64;14,53;-1,65;191,72;0,77;-0,67;0,36;40,69;23,18;38,59;-1,71;123,15;2,74;-6,34;9,75
13/07/2019;4,00;6;6;1;1;0;1;1;0;176,01;165,47;7,10;18,83;-6,77;0,12;-0,51;-0,06;33,03;61,73;15,10;13,55;-35,51;0,32;-3,85;-3,56
14/07/2019;5,00;6;8;1;1;0;1;1;0;188,94;206,19;-9,50;0,29;-5,28;4,16;4,16;0,26;28,44;66,19;-12,75;0,16;-24,24;7,99;7,99;14,05
25/07/2019;4,00;6;2;8;0;2;2;1;4;349,64;107,30;102,70;-0,79;144,00;3,65;-2,09;-5,14;16,16;10,63;71,17;-0,52;19,16;6,20;-12,01;-16,93
30/07/2019;1,00;6;0;2;2;8;3;1;7;185,23;65,78;1,56;16,22;108,70;13,51;-6,66;4,95;21,46;17,15;1,58;7,21;282,33;19,39;-25,76;180,31
02/08/2019;2,00;6;1;0;0;3;2;1;5;281,96;7,74;24,49;-0,07;251,72;0,96;-1,14;0,36;34,42;2,39;10,75;-0,07;210,49;3,14;-10,96;5,60
05/08/2019;2,00;6;5;1;3;8;1;5;0;142,68;-124,93;-54,98;14,00;341,86;-1,55;-5,68;-7,18;13,21;-27,68;-17,22;14,79;243,95;-4,70;-45,15;-67,24
09/08/2019;1,00;6;2;3;6;7;3;1;0;131,55;42,62;-40,94;32,07;91,95;12,14;-3,86;-0,61;16,30;12,81;-40,52;13,73;216,10;17,14;-17,42;-25,22
17/08/2019;2,00;6;0;2;1;8;1;1;8;144,56;66,60;-23,73;-2,57;108,03;2,08;-3,35;2,40;37,80;38,97;-48,11;-2,71;439,61;7,57;-37,86;199,00
