,Date,severity_score,energy_score,temperature_score
154,2019-06-04,1,0.1312307190299851,1.3803392352638375
156,2019-06-06,3,-0.441314115445925,1.002886928184203
157,2019-06-07,0,-1.0626703759024978,1.043041428937356
160,2019-06-10,0,0.37792630439172376,1.1974818164494814
161,2019-06-11,0,0.20246901640717163,1.0448947135875015
162,2019-06-12,0,-0.2764106492950296,0.853388633072466
163,2019-06-13,0,0.07450392667407617,1.2172501860510332
164,2019-06-14,0,-0.22364154012674306,1.479181083271598
167,2019-06-17,0,1.6021696370959724,1.5780229312793583
168,2019-06-18,0,0.9240865842834891,1.569992031128728
170,2019-06-20,0,0.730160108090037,1.4303779208177663
171,2019-06-21,0,1.8251191233319812,1.4396443440684938
195,2019-07-15,4,4.520301374102218,0.9423462962794501
196,2019-07-16,2,1.86337672747899,1.445821959568979
209,2019-07-29,4,3.7234878256610906,1.757791542343472
210,2019-07-30,4,4.094190817568302,1.7991815661967219
211,2019-07-31,0,0.08901543169535527,1.764586919394006
212,2019-08-01,0,-0.5679599774498115,1.6855134409877977
216,2019-08-05,0,0.14046531313443433,1.825127551298759
217,2019-08-06,0,-0.22759922331436394,1.7281389879411442
240,2019-08-29,0,-0.8621477610630098,1.8115367971976921
241,2019-08-30,0,-0.5824714824710906,1.8936990833541427
244,2019-09-02,4,1.358112507192647,1.7201080877905135
245,2019-09-03,2,1.9095496980012407,1.4933895989227133
246,2019-09-04,1,0.5533835923762774,1.4112273127662627
247,2019-09-05,0,-0.19857621327180575,0.804585470618634
248,2019-09-06,0,-0.056099618517432705,0.8200295093698465
251,2019-09-09,0,0.09033465942456273,0.8966319415758611
252,2019-09-10,0,-0.3304989861925221,0.7879059087673247
253,2019-09-11,0,0.9781749211809831,1.1665937389470564
254,2019-09-12,0,0.476868384082261,1.35871758101214
255,2019-09-13,0,0.9768556934517771,1.4507640519693668
258,2019-09-16,0,0.8673597919275817,1.657714171235615
259,2019-09-17,1,0.34890329434916706,1.5965557777808133
260,2019-09-18,0,1.504546785134641,1.4285246361676207
261,2019-09-19,0,1.2090397737922367,0.9874428894329905
262,2019-09-20,0,0.7314793358192444,0.8682149102736297
265,2019-09-23,0,0.7156486030687579,0.9645857120811961
266,2019-09-24,0,0.7908445836335668,1.0016514050841063
267,2019-09-25,0,0.8845097524072743,1.047983521337744
268,2019-09-26,0,0.6681564048172997,1.1276747612940006
269,2019-09-27,0,1.4887160523841545,1.1462076077954555
272,2019-09-30,0,1.3871355172352053,1.2364007941025368
273,2019-10-01,0,0.9333211783879398,1.1567095541462802
274,2019-10-02,0,1.2842357543570455,1.1221149073435643
275,2019-10-03,0,1.1100976941016996,0.6038129668528709
276,2019-10-04,0,1.129886110039807,0.592693258951998
279,2019-10-07,0,0.5731720083143849,0.6495273215564604
280,2019-10-08,0,1.0111556144111622,0.6544694139568481
281,2019-10-09,0,-0.9413014248154397,0.3505307313329854
282,2019-10-10,0,-0.4505487095503743,0.6340832828052478
283,2019-10-11,0,-0.1458071041035207,0.598870874452483
286,2019-10-14,0,-0.5613638388037757,0.9800297508324087
287,2019-10-15,0,0.17608446182302837,0.5704538431502522
288,2019-10-16,0,-0.6761366512447995,0.6538516524067998
289,2019-10-17,0,-0.10095336131047596,0.8410334020714958
290,2019-10-18,0,-0.4637409868424459,0.7279830384126201
293,2019-10-21,0,-0.1392109654574834,0.9404930116293045
294,2019-10-22,0,0.7077332366935146,0.8484465406720779
295,2019-10-23,0,0.2248958878036925,0.8947786569257156
296,2019-10-24,0,0.4016724035174536,0.7384849847634445
297,2019-10-25,0,-0.07456880672633269,0.8391801174213502
300,2019-10-28,0,0.15101913496809255,0.9058983648265885
301,2019-10-29,0,1.0797554563299352,0.8811879028246485
302,2019-10-30,0,0.3014110960977089,0.47717184909292826
303,2019-10-31,0,0.43861077993525355,0.35238401598313096
307,2019-11-04,0,0.4702722454362252,0.30296309197925075
308,2019-11-05,0,1.934615024856178,0.17817525886945346
309,2019-11-06,0,1.111416921830907,-0.042983376047910145
310,2019-11-07,4,3.4701961016533147,-0.052867560848686185
311,2019-11-08,4,2.7129593850884044,-0.165917924507562
314,2019-11-11,0,0.7367562467360728,-0.22398751021212124
315,2019-11-12,0,1.3765816954015455,-0.3358023507709
316,2019-11-13,0,0.785567672716737,-0.31912278891959045
317,2019-11-14,0,0.24204584828338652,-0.4167291138272537
318,2019-11-15,0,-0.29224138204551464,-0.2913235191674079
321,2019-11-18,0,0.8845097524072743,-0.3166517427193964
322,2019-11-19,0,0.9966441093898846,-0.08066683060086871
323,2019-11-20,0,1.437266170945077,0.04473876405897709
324,2019-11-21,0,0.5692143251267624,-0.08931549230154777
325,2019-11-22,0,0.43597232447683865,-0.012095298545485172
328,2019-11-25,0,0.2525996701170432,0.1930015360706174
329,2019-11-26,0,-0.015203558912010341,0.05709399505994708
330,2019-11-27,0,-0.08248417310157598,-0.04916099154839514
331,2019-11-28,0,-0.09963413358127,-0.10723057725295437
332,2019-11-29,0,-0.38326809536080864,-0.10105296175246939
335,2019-12-02,0,-0.25662223335692214,-0.2629064878651768
336,2019-12-03,0,0.004584857026097111,-0.26661305716546785
337,2019-12-04,0,-0.2882836988578938,-0.5551077010381181
338,2019-12-05,0,-0.14976478729114162,-0.6422120795949569
339,2019-12-06,0,-0.7856325527689935,-0.6323278947941808
342,2019-12-09,0,-0.6326021361809622,-0.2684663418156133
343,2019-12-10,0,-0.5257446901151832,-0.48777169208283144
344,2019-12-11,0,-0.5468523337824981,-0.703988234599807
345,2019-12-12,0,-0.2368338174188147,-0.8281583061595559
346,2019-12-13,0,-0.5600446110745697,-0.5785826399399611
349,2019-12-16,0,1.264447338418938,-0.16344687830736804
350,2019-12-17,0,0.30273032382691634,-0.07881354595072336
351,2019-12-18,0,0.05735396619438365,-0.01333082164558215
352,2019-12-19,0,-0.02575738074566705,0.007673071056067119
353,2019-12-20,0,-0.7869517804982009,-0.1362653701052339
