record,freq,auto8,demean8,zscore8,auto16,demean16,zscore16,auto32,demean32,zscore32,auto64,demean64,zscore64,mp
213 ,N,0.942740169760955,0.989851834078162,0.752621397078672,0.9319561500854804,0.9912270177859093,0.10083830718934647,0.9284904471971446,0.9898338382172099,0.11853273747038182,0.9232296571788488,0.9904606940403707,0.14888725593113583,0.3902717375003749
214 ,L,0.7875845120887337,0.7305816924227317,0.1595116992771685,0.7907644254735793,0.7553043993020938,0.7581630109670988,0.807020345214357,0.8177050878614158,0.680873395438684,0.814371339107677,0.89779879112662,0.6158224545114656,0.6329020750249252
215 ,N,0.9701126114105779,0.9919105818129141,0.027043512073132617,0.9694416700340807,0.9922536768349866,0.0090253051639613,0.9674707797406201,0.9921774334967481,0.03095670140821445,0.9678062504288688,0.9905858538110233,0.03376436233884064,0.025385219466449123
217 ,/,0.6224189324547748,0.9038623993821125,0.45173961840628507,0.564582503650604,0.8841219844804074,0.1953586039607545,0.5441542063405862,0.849305480129853,0.5610043083161362,0.5315188926300037,0.8247951437915596,0.46305347380616196,0.06967223006649528
219 ,N,0.7861094497607655,0.881855562200957,0.03495813397129189,0.7890101674641148,0.8867523923444977,0.11657446172248803,0.807184509569378,0.9196396531100478,0.1207834928229665,0.8250897129186602,0.9825059808612441,0.13208732057416267,0.16694826555023923
221 ,N,0.8423041344016233,0.9955599818967618,0.04069125524073828,0.8352891296022759,0.9961431150500574,0.06372936653586579,0.8252142299409656,0.9880986129139748,0.17297295953130518,0.836202994991769,0.9633272657644889,0.1640158353600008,0.4088882423446678
223 ,N,0.4868697666485528,0.42865585917202476,0.09281104601581064,0.513442598241237,0.44360772522996006,0.8291939200901197,0.6718671289005945,0.5315141466587865,0.7628198517307989,0.7582345334755998,0.9464051263540769,0.7317301246682981,0.7652384484488852
228 ,N,0.8881534023151492,0.9960679058127035,0.3756040265167232,0.8795883961564473,0.995904545023867,0.3805195526528159,0.8743036746375841,0.9944588020426632,0.465351176687762,0.8733545484544437,0.9927680178782047,0.4620137157718307,0.1622777068065906
230 ,N,0.9849223946784922,1.0,0.5534368070953437,0.9849223946784922,1.0,0.7450110864745011,0.985809312638581,1.0,0.9609756097560975,0.987139689578714,1.0,0.9711751662971175,0.743680709534368
231 ,R,0.9993626513702996,1.0,0.0006373486297004405,0.9993626513702996,1.0,0.13926067558954747,0.9993626513702996,1.0,0.44741873804971316,0.9993626513702996,1.0,0.47131931166347996,0.5047801147227533
233 ,N,0.7705713007096024,0.9043235650568924,0.8500579201836316,0.7829026255722429,0.9155473403822518,0.943071204354399,0.7893846542561164,0.9224790266839678,0.9084234789795769,0.8067553562787193,0.9258252287900786,0.8623871038195203,0.9269702497955128
234 ,N,0.8740606060606061,0.8063030303030303,0.0010909090909091423,0.8863030303030303,0.9166060606060605,0.08181818181818182,0.8911515151515151,0.9866666666666667,0.974909090909091,0.8930909090909092,0.9882424242424241,0.9786666666666666,0.9824242424242424
